report_path,status,final_status,scientific_scope,supersedes,superseded_by,retain_or_delete,reason
reports/beta_capacity_gated_handoff/phase1_params_added_report.md,CURRENT_ACCEPTED,,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/phase2_direct_handoff_mass_contract.md,CURRENT_PARTIAL,,beta capacity gated handoff,,,RETAIN,partial result retained for provenance
reports/beta_capacity_gated_handoff/phase3_staged_conversion_design_report.md,UNVERIFIED,,beta capacity gated handoff,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_capacity_gated_handoff/phase4_handoff_decision_diagnostics_report.md,UNVERIFIED,,beta capacity gated handoff,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_capacity_gated_handoff/phase5_forced_direct_handoff_validation_report.md,CURRENT_ACCEPTED,,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/phase6_staged_conversion_validation_report.md,CURRENT_ACCEPTED,,beta capacity gated handoff,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_gated_handoff/phase7_short_beta_enabled_smoke_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta capacity gated handoff,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_capacity_transaction_debug/beta_attempt_capacity_diagnostics_report.md,CURRENT_ACCEPTED,,beta capacity transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_transaction_debug/beta_capacity_rejection_audit.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta capacity transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_capacity_transaction_debug/beta_capacity_transaction_acceptance_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta capacity transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_capacity_transaction_debug/build_report.md,CURRENT_ACCEPTED,,beta capacity transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_transaction_debug/capacity_matched_beta_debug_mode_report.md,CURRENT_ACCEPTED,,beta capacity transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_transaction_debug/forced_capacity_matched_beta_transaction_report.md,CURRENT_ACCEPTED,,beta capacity transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_capacity_transaction_debug/reference_S05_stability_with_capacity_audit.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta capacity transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_enabled_long_coupling/S_parameter_audit.md,CURRENT_PARTIAL,,beta enabled long coupling,,,RETAIN,partial result retained for provenance
reports/beta_enabled_long_coupling/beta_S_sweep_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta enabled long coupling,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_enabled_long_coupling/beta_diagnostic_S_selection_report.md,CURRENT_ACCEPTED,,beta enabled long coupling,,,RETAIN,acceptance/validation evidence found
reports/beta_enabled_long_coupling/beta_enabled_long_coupling_acceptance_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta enabled long coupling,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_enabled_long_coupling/beta_transaction_validation_with_diagnostic_S.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta enabled long coupling,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_enabled_long_coupling/build_report.md,CURRENT_ACCEPTED,,beta enabled long coupling,,,RETAIN,acceptance/validation evidence found
reports/beta_enabled_long_coupling/phase0_params_audit.md,CURRENT_ACCEPTED,,beta enabled long coupling,,,RETAIN,acceptance/validation evidence found
reports/beta_enabled_long_coupling/phase1_beta_transaction_code_path_audit.md,UNVERIFIED,,beta enabled long coupling,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_enabled_long_coupling/phase2_beta_transaction_diagnostics_report.md,CURRENT_ACCEPTED,PASS_DIAGNOSTICS_INSTALLED_NO_NATURAL_BETA_EVENT_YET,beta enabled long coupling,,,RETAIN,acceptance/validation evidence found
reports/beta_enabled_long_coupling/phase3_beta_enabled_smoke_report.md,CURRENT_ACCEPTED,,beta enabled long coupling,,,RETAIN,acceptance/validation evidence found
reports/beta_enabled_long_coupling/reference_S05_beta_enabled_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta enabled long coupling,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_full_seed_capacity_diagnostic/beta_full_seed_capacity_diagnostic_acceptance_report.md,CURRENT_ACCEPTED,,beta full seed capacity diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_full_seed_capacity_diagnostic/build_report.md,CURRENT_ACCEPTED,,beta full seed capacity diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_full_seed_capacity_diagnostic/phase0_baseline_status_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta full seed capacity diagnostic,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_full_seed_capacity_diagnostic/phase1_full_seed_mass_source_audit.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta full seed capacity diagnostic,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_full_seed_capacity_diagnostic/phase2_draw_radius_capacity_scan_report.md,CURRENT_ACCEPTED,,beta full seed capacity diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_full_seed_capacity_diagnostic/phase3_forced_full_seed_adaptive_draw_report.md,CURRENT_ACCEPTED,,beta full seed capacity diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_full_seed_capacity_diagnostic/phase4_physical_viability_interpretation.md,UNVERIFIED,,beta full seed capacity diagnostic,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_full_seed_capacity_diagnostic/phase5_reference_S05_stability_recheck.md,CURRENT_ACCEPTED,,beta full seed capacity diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_multi_GP_capture_diagnostic/beta_multi_GP_capture_diagnostic_acceptance_report.md,CURRENT_ACCEPTED,PASS_MULTI_GP_FULL_SEED_ACCEPTED_LARGE_RADIUS_STAGED_CONVERSION_RECOMMENDED,beta multi GP capture diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_multi_GP_capture_diagnostic/build_report.md,CURRENT_ACCEPTED,,beta multi GP capture diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_multi_GP_capture_diagnostic/phase0_baseline_summary.md,UNVERIFIED,,beta multi GP capture diagnostic,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_multi_GP_capture_diagnostic/phase1_GP_capacity_code_audit.md,CURRENT_ACCEPTED,,beta multi GP capture diagnostic,,,RETAIN,acceptance/validation evidence found
reports/beta_multi_GP_capture_diagnostic/phase2_multi_GP_capture_scan_report.md,CURRENT_PARTIAL,,beta multi GP capture diagnostic,,,RETAIN,partial result retained for provenance
reports/beta_multi_GP_capture_diagnostic/phase3_multi_GP_capture_debug_mode_report.md,UNVERIFIED,,beta multi GP capture diagnostic,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_multi_GP_capture_diagnostic/phase4_forced_full_seed_multi_GP_capture_report.md,CURRENT_PARTIAL,,beta multi GP capture diagnostic,,,RETAIN,partial result retained for provenance
reports/beta_multi_GP_capture_diagnostic/phase5_physical_viability_report.md,UNVERIFIED,,beta multi GP capture diagnostic,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_multi_GP_capture_diagnostic/phase6_reference_stability_recheck.md,UNVERIFIED,,beta multi GP capture diagnostic,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_natural_staged_transaction_debug/natural_staged_transaction_accounting_acceptance_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta natural staged transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_natural_staged_transaction_debug/phase1_independent_recompute_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta natural staged transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_natural_staged_transaction_debug/phase2_delta_diagnostics_report.md,UNVERIFIED,,beta natural staged transaction debug,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_natural_staged_transaction_debug/phase3_transaction_formula_audit.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta natural staged transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_natural_staged_transaction_debug/phase3_transaction_formula_fix_report.md,CURRENT_ACCEPTED,,beta natural staged transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_natural_staged_transaction_debug/phase4_T380_S005_after_fix_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta natural staged transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_natural_staged_transaction_debug/phase5_T400_S005_after_fix_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta natural staged transaction debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_natural_staged_transaction_debug/phase6_resume_plan_report.md,CURRENT_ACCEPTED,,beta natural staged transaction debug,,,RETAIN,acceptance/validation evidence found
reports/beta_seed_xBcrit_titration/beta_seed_xBcrit_titration_acceptance_report.md,CURRENT_ACCEPTED,PASS_BETA_SEED_XB_CRIT_TITRATION_AUDIT,beta seed xBcrit titration,,,RETAIN,acceptance/validation evidence found
reports/beta_seed_xBcrit_titration_with_two_radius_extension/beta_seed_xBcrit_titration_acceptance_report.md,CURRENT_ACCEPTED,PASS_BETA_SEED_XB_CRIT_TITRATION_AUDIT_TWO_RADIUS_PENDING,beta seed xBcrit titration with two radius extension,,,RETAIN,acceptance/validation evidence found
reports/beta_seed_xBtot_inventory_audit/beta_seed_xBtot_inventory_acceptance_report.md,CURRENT_PARTIAL,,beta seed xBtot inventory audit,,,RETAIN,partial result retained for provenance
reports/beta_seed_xBtot_inventory_audit/phase1_seed_entry_identification.md,UNVERIFIED,,beta seed xBtot inventory audit,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_seed_xBtot_inventory_audit/phase2_seed_inventory_direct_integral_report.md,UNVERIFIED,,beta seed xBtot inventory audit,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_seed_xBtot_inventory_audit/phase3_seed_vs_system_ledger_report.md,UNVERIFIED,,beta seed xBtot inventory audit,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_seed_xBtot_inventory_audit/phase4_seed_vs_GP_inventory_report.md,UNVERIFIED,,beta seed xBtot inventory audit,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_seed_xBtot_inventory_audit/phase5_seed_vs_capture_capacity_report.md,UNVERIFIED,,beta seed xBtot inventory audit,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_seed_xBtot_inventory_audit/phase6_handoff_inventory_transfer_report.md,CURRENT_PARTIAL,,beta seed xBtot inventory audit,,,RETAIN,partial result retained for provenance
reports/beta_staged_accumulation_validation/beta_staged_accumulation_acceptance_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,FAIL_STAGED_ACCUMULATION_LEDGER,beta staged accumulation validation,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_staged_accumulation_validation/build_report.md,CURRENT_ACCEPTED,PASS,beta staged accumulation validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_accumulation_validation/phase1_S_window_natural_staged_event_report.md,UNVERIFIED,NOT_RUN_BLOCKED_BY_FORCED_GLOBAL_MASS_CLOSURE,beta staged accumulation validation,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_staged_accumulation_validation/phase2_staged_accumulation_code_audit.md,CURRENT_PARTIAL,,beta staged accumulation validation,,,RETAIN,partial result retained for provenance
reports/beta_staged_accumulation_validation/phase3_staged_accumulation_scaffold_report.md,UNVERIFIED,IMPLEMENTED,beta staged accumulation validation,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_staged_accumulation_validation/phase4_forced_staged_accumulation_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,FAIL_GLOBAL_MASS_CLOSURE,beta staged accumulation validation,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_staged_accumulation_validation/phase5_natural_staged_accumulation_report.md,UNVERIFIED,NOT_RUN,beta staged accumulation validation,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_staged_accumulation_validation/phase6_reference_S05_stability_recheck.md,UNVERIFIED,NOT_RUN,beta staged accumulation validation,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_staged_global_closure_debug/phase1_global_ledger_formula_audit.md,CURRENT_PARTIAL,,beta staged global closure debug,,,RETAIN,partial result retained for provenance
reports/beta_staged_global_closure_debug/phase2_staged_mass_probe_report.md,UNVERIFIED,,beta staged global closure debug,,,RETAIN,no machine-readable final status or supersession relation found
reports/beta_staged_global_closure_debug/phase3_freeze_control_report.md,CURRENT_ACCEPTED,,beta staged global closure debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_global_closure_debug/phase4_projection_target_fix_report.md,CURRENT_ACCEPTED,,beta staged global closure debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_global_closure_debug/phase5_forced_staged_accumulation_after_fix_report.md,CURRENT_ACCEPTED,,beta staged global closure debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_global_closure_debug/phase6_resume_validation_report.md,CURRENT_ACCEPTED,,beta staged global closure debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_global_closure_debug/staged_global_closure_acceptance_report.md,CURRENT_ACCEPTED,PASS_STAGED_EMBRYO_GLOBAL_MASS_CLOSURE,beta staged global closure debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_handoff_validation/build_report.md,CURRENT_ACCEPTED,,beta staged handoff validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_handoff_validation/phase0_state_summary.md,CURRENT_ACCEPTED,,beta staged handoff validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_handoff_validation/phase1_natural_staged_long_accumulation_progress_report.md,CURRENT_ACCEPTED,,beta staged handoff validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_handoff_validation/phase1_natural_staged_long_accumulation_report.partial.md,CURRENT_PARTIAL,,beta staged handoff validation,,,RETAIN,partial result retained for provenance
reports/beta_staged_handoff_validation/phase1_natural_staged_target_reached_report.md,CURRENT_ACCEPTED,,beta staged handoff validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_handoff_validation/phase234_runner_preparation_report.md,CURRENT_ACCEPTED,,beta staged handoff validation,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_natural_handoff_validation/beta_staged_natural_handoff_acceptance_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta staged natural handoff validation,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_staged_natural_handoff_validation/phase1_S_window_natural_staged_event_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta staged natural handoff validation,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_staged_resolved_handoff_debug/phase1_ready_trigger_audit.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,beta staged resolved handoff debug,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/beta_staged_resolved_handoff_debug/phase2_handoff_diagnostics_report.md,CURRENT_ACCEPTED,,beta staged resolved handoff debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_resolved_handoff_debug/phase3_staged_to_resolved_patch_report.md,CURRENT_ACCEPTED,,beta staged resolved handoff debug,,,RETAIN,acceptance/validation evidence found
reports/beta_staged_resolved_handoff_debug/staged_resolved_handoff_acceptance_report.md,CURRENT_PARTIAL,,beta staged resolved handoff debug,,,RETAIN,partial result retained for provenance
reports/can_gp_reservoir_release_be_closed_without_new_experiment_or_dft.md,CURRENT_ACCEPTED,,reports,,,RETAIN,acceptance/validation evidence found
reports/consolidated/cleanup_diff_audit_final_report.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/current_worktree_audit.md,CURRENT_ACCEPTED,,consolidated,,,RETAIN,acceptance/validation evidence found
reports/consolidated/default_path_migration_final_check.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/recommended_commit_plan.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/root_cleanliness_final_check.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/root_cleanup_report.md,CURRENT_ACCEPTED,,consolidated,,,RETAIN,acceptance/validation evidence found
reports/consolidated/root_csv_archive_summary.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/root_default_path_migration_report.md,CURRENT_ACCEPTED,,consolidated,,,RETAIN,acceptance/validation evidence found
reports/consolidated/root_level_reports_consolidated.md,CURRENT_ACCEPTED,,consolidated,,,RETAIN,acceptance/validation evidence found
reports/consolidated/root_retained_path_migration_plan.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/consolidated/root_retained_reference_index.md,UNVERIFIED,,consolidated,,,RETAIN,no machine-readable final status or supersession relation found
reports/current_model_description/current_model_description_for_gp_assisted_beta_pf.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,current model description,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/current_status_and_next_work_plan/current_status_and_next_work_plan.md,SUPERSEDED_RETAIN_FOR_PROVENANCE,PASS_CURRENT_STATUS_REASSESSED_AND_NEXT_WORK_PLAN_DEFINED,current status and next work plan,,,RETAIN,supersession language found; retained until explicit canonical links are confirmed
reports/data/step38e_phi_eta_step_delta/STEP38E_PHI_ETA_STEP_DELTA_REPORT.md,UNVERIFIED,,step38e phi eta step delta,,,RETAIN,no machine-readable final status or supersession relation found
reports/data/step38f_phi_eta_rhs_attribution/STEP38F_PHI_ETA_RHS_ATTRIBUTION_REPORT.md,UNVERIFIED,,step38f phi eta rhs attribution,,,RETAIN,no machine-readable final status or supersession relation found
reports/diagnostic_rsmd_T380_evidence_audit/T380_evidence_acceptance_report.md,CURRENT_ACCEPTED,,diagnostic rsmd T380 evidence audit,,,RETAIN,acceptance/validation evidence found
reports/diagnostic_rsmd_T380_refined_required_supply_final_report.md,CURRENT_ACCEPTED,PASS_DIAGNOSTIC_RSMD_T380_EVIDENCE_AUDIT_AND_REFINED_REQUIRED_SUPPLY_MAP,reports,,,RETAIN,acceptance/validation evidence found
reports/diagnostic_rsmd_T380_refined_required_supply_map/T380_refined_required_supply_report.md,CURRENT_ACCEPTED,,diagnostic rsmd T380 refined required supply map,,,RETAIN,acceptance/validation evidence found
reports/diagnostic_rsmd_source_engine_T380/diagnostic_rsmd_T380_acceptance_report.md,CURRENT_ACCEPTED,PASS_DIAGNOSTIC_RSMD_SOURCE_ENGINE_T380_FIRST,diagnostic rsmd source engine T380,,,RETAIN,acceptance/validation evidence found
reports/figures/completed_35case_heatmap/README.md,UNVERIFIED,,completed 35case heatmap,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_mechanism_mindmap/mechanism_mindmap_gp_reservoir_beta_en.md,UNVERIFIED,,gp reservoir mechanism mindmap,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_mechanism_mindmap/mechanism_mindmap_gp_reservoir_beta_zh.md,UNVERIFIED,,gp reservoir mechanism mindmap,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_mechanism_mindmap/mechanism_mindmap_report.md,UNVERIFIED,,gp reservoir mechanism mindmap,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework/claim_boundary_diagram.md,UNVERIFIED,,gp reservoir model framework,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework/diagram_generation_route.md,UNVERIFIED,,gp reservoir model framework,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework/gp_reservoir_mediated_beta_model_diagram_report.md,UNVERIFIED,,gp reservoir model framework,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework/gp_to_beta_framework_flowchart.md,UNVERIFIED,,gp reservoir model framework,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework/model_logic_mindmap.md,UNVERIFIED,,gp reservoir model framework,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/defense_detailed_model_logic_mindmap.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/diagram_refinement_route.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/gp_reservoir_model_refined_diagram_report.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/paper_claim_boundary_clean.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/paper_compact_gp_reservoir_mechanism.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/figures/gp_reservoir_model_framework_refined/paper_evidence_chain_required_supply_capacity_rsmd.md,UNVERIFIED,,gp reservoir model framework refined,,,RETAIN,no machine-readable final status or supersession relation found
reports/final_physics_validation_report.md,CURRENT_PARTIAL,,reports,,,RETAIN,partial result retained for provenance
reports/full_formula_level_runtime_model_audit/full_formula_level_runtime_model_audit_report.md,CURRENT_ACCEPTED,PASS_FULL_FORMULA_LEVEL_RUNTIME_MODEL_AUDIT_GENERATED,full formula level runtime model audit,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_JGP_xB_source_test/JGP_source_perturbation_test.md,CURRENT_ACCEPTED,,gp after quench JGP xB source test,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_JGP_xB_source_test/JGP_xB_conversion_numeric_validation.md,UNVERIFIED,,gp after quench JGP xB source test,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_JGP_xB_source_test/JGP_xB_source_runtime_test_acceptance_report.md,CURRENT_ACCEPTED,,gp after quench JGP xB source test,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_JGP_xB_source_test/build_report.md,UNVERIFIED,,gp after quench JGP xB source test,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_JGP_xB_source_test/params_source_mode_audit.md,UNVERIFIED,,gp after quench JGP xB source test,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_JGP_xB_source_test/runtime_diagnostics_report.md,CURRENT_ACCEPTED,,gp after quench JGP xB source test,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_JGP_xB_source_test/workstation_dynamic_smoke_report.md,UNVERIFIED,,gp after quench JGP xB source test,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_JGP_xB_source_test/workstation_init_smoke_report.md,UNVERIFIED,,gp after quench JGP xB source test,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/JGP_xAg_source_mode_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/after_quench_initial_state_acceptance_report.md,CURRENT_ACCEPTED,,gp after quench initial state,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_initial_state/build_report.md,CURRENT_ACCEPTED,,gp after quench initial state,,,RETAIN,acceptance/validation evidence found
reports/gp_after_quench_initial_state/gp_xB_GP_exact_fix_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/initial_population_generator_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/initial_xB_ledger_reconstruction_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/params_template_report.md,CURRENT_FAILED_BUT_DIAGNOSTICALLY_IMPORTANT,,gp after quench initial state,,,RETAIN,failed/negative result retained because it may define a rejected route or acceptance gate
reports/gp_after_quench_initial_state/position_overlap_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
reports/gp_after_quench_initial_state/radius_distribution_report.md,UNVERIFIED,,gp after quench initial state,,,RETAIN,no machine-readable final status or supersession relation found
