path,git_status,change_type,category,recommended_commit_group,reason,risk_level,notes
nucleus_geometry_mapper.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
nucleus_orchestrator.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
nucleus_parametric_generator/acceptance_summary.json,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_parametric_generator/cuda_nucleus_eval.cu,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_parametric_generator/dynamic_continue_parser.cpp,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_parametric_generator/parametric_nucleus_builder.cu,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_parametric_generator/validation_report.md,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_parametric_generator/workstation_test_runner.sh,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
nucleus_selector.py,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
pf_dynamics_core.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
physical_units_config.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
plot_step41D_gp_beta_driving_forces.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
reports/cnt/cnt_prediction_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/cnt/normalized_cnt_prediction.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/cnt/nucleation_barrier_observed.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/cnt/nucleation_observation_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/cnt/nucleation_prediction_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/cleanup_diff_audit_final_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/current_worktree_audit.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/current_worktree_audit.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/default_path_migration_final_check.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/pre_cleanup_root_inventory.txt,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Pre-cleanup inventory supporting cleanup archival
reports/consolidated/recommended_commit_plan.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/consolidated/root_cleanliness_final_check.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_cleanup_master_index.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_cleanup_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_csv_archive_index.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_csv_archive_summary.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_default_path_migration_index.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_default_path_migration_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_folder_archive_index.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_level_reports_consolidated.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_retained_path_migration_plan.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_retained_path_migration_plan.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_retained_reference_index.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/consolidated/root_retained_reference_index.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/data/cuda_nucleation_observation.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/cuda_nucleation_spatial_density.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/cuda_nucleation_time_histogram.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/normalized_nucleation_rate.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_GP_drive_vs_xB_by_T.png,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_GP_vs_beta_drive_by_T.png,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_beta_drive_vs_xB_by_T.png,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_drive_curves.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_drive_sample_points.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/data/step41d_gp_beta_driving_forces/step41D_threshold_xB_vs_T.png,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/final_physics_validation_report.md,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
reports/gp/external_prediction_validation.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp/gp_validation_report.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/cuda_patch_proposal_gp_assisted_mass_conserving_beta_nucleation.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/existing_beta_insertion_functions.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/existing_beta_insertion_path.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_assisted_beta_mass_ledger_next_step_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_assisted_event_dry_run_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_assisted_event_dry_run_result.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_initial_mass_budget_modes.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_mass_budget_initialization_test.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_release_kernel_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_release_kernel_validation.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_reservoir_mass_definition.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_site_probability_design.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/gp_site_reservoir_schema.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/level0_level1_validation_plan.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/locked_S_prediction_template.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_mass_ledger/terminal_final_print.txt,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/beta_barrier_unit_check_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/beta_homogeneous_barrier_check.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/cross_temperature_locked_S_template.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/cross_temperature_prediction_protocol.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/existing_beta_nucleation_audit.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/existing_beta_nucleation_functions.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_mass_conserving_beta_nucleation_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_nucleation_algorithm.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_parameter_spec.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_validation_plan.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_validation_results.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_assisted_validation_results.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_mass_budget_design.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_mass_ledger_variables.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_nucleation_event_mass_balance.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_release_kernel_spec.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_site_model_spec.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/gp_site_struct_or_arrays_proposal.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/minimal_implementation_roadmap.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_beta_nucleation_audit/terminal_final_print.txt,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/debug_run_matrix.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/final_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/gp_initialization_mass_check.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/gp_release_and_draw_kernel_debug.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/gp_site_arrays_implementation_notes.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/multi_site_debug_validation_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/new_parameter_spec.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/stochastic_entry_point_plan.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_assisted_cuda_debug/validation_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_formula_recovery.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_master_audit.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_missing_tests.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_phase_field_audit.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_priority_actions.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_v03_variable_dataflow.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/gp_zone_experimental_calibration_thermodynamic_driving_force_v0.3.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/gp_effect_analysis.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleation_barrier_estimate.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleation_event_log.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleation_physics_observables_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleation_rate_J.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
