allocation_id,source_file,function,source_line,buffer_name,dtype,elements_formula,bytes_at_400cube,bytes_per_cell,grid_dependence,lifetime,physics_owner,solver_owner,first_use,last_use,read_kernels,write_kernels,rollback_requirement,checkpoint_requirement,restart_requirement,fft_requirement,mechanics_requirement,gp_requirement,can_reconstruct,can_alias,can_allocate_lazily,can_compress_dtype,baseline_active,optimized_active,optimization,current_reason
PF001,main_cuda.cu,main,30146,d_bbox_mins,int32,3,12,1.875e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,initial diagnostics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,persistent diagnostic packet
PF020,main_cuda.cu,main,30463,d_phi_event_macro_start_r,float64,N,512000000,8.0,cell,event rollback,PF_ONLY,transport/phase transaction,event transaction,macro commit/reject,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,lazy-allocation candidate,yes,no,yes,no,M1_LAZY_EVENT_SNAPSHOT,event rollback
PF021,main_cuda.cu,main,30465,d_Y_event_macro_start_r,float64,N,512000000,8.0,cell,event rollback,PF_ONLY,transport/phase transaction,event transaction,macro commit/reject,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,lazy-allocation candidate,yes,no,yes,no,M1_LAZY_EVENT_SNAPSHOT,event rollback
PF022,main_cuda.cu,main,30468,d_ctot_residual_r,float64,N,512000000,8.0,cell,attempt scratch,PF_ONLY,transport/phase transaction,transport residual,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,yes,no,conditional,shared with phase residual,conditional,no,yes,yes,retained,attempt scratch
PF023,main_cuda.cu,main,30470,d_ctot_line_base_residual_r,float64,N,512000000,8.0,cell,transport direction,PF_ONLY,transport/phase transaction,feasible direction,transport solve end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,not while trial residual is live,conditional,no,yes,yes,retained,transport direction
PF024,main_cuda.cu,main,30472,d_ctot_q_alpha_r,float64,N,512000000,8.0,cell,derived storage,PF_ONLY,transport/phase transaction,context reconstruction,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,lifetime-reuse candidate,conditional,no,yes,yes,retained,derived storage
PF025,main_cuda.cu,main,30473,d_ctot_active_mask_r,float64,N,512000000,8.0,cell,active code,PF_ONLY,transport/phase transaction,context reconstruction,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,uint8 candidate,conditional,no,yes,yes,retained,active code
PF026,main_cuda.cu,main,30475,d_ctot_outer_C_prev_r,float64,N,512000000,8.0,cell,outer history,PF_ONLY,transport/phase transaction,outer iteration,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer history
PF027,main_cuda.cu,main,30476,d_ctot_outer_phi_prev_r,float64,N,512000000,8.0,cell,outer history,PF_ONLY,transport/phase transaction,outer iteration,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer history
PF028,main_cuda.cu,main,30477,d_ctot_outer_C_prev2_r,float64,N,512000000,8.0,cell,outer history,PF_ONLY,transport/phase transaction,two-cycle audit,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer history
PF029,main_cuda.cu,main,30478,d_ctot_outer_phi_prev2_r,float64,N,512000000,8.0,cell,outer history,PF_ONLY,transport/phase transaction,two-cycle audit,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,no,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer history
PF030,main_cuda.cu,main,30502,d_ctot_audit_stats,float64,12,96,1.5e-06,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,Ctot initialization,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent diagnostic packet
PF031,main_cuda.cu,main,30504,d_ctot_phase_stats,float64,11,88,1.375e-06,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,phase audit,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent diagnostic packet
PF032,main_cuda.cu,main,30506,d_ctot_phase_pdas_stats,float64,5,40,6.25e-07,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,phase PDAS,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent diagnostic packet
PF033,main_cuda.cu,main,30514,d_ctot_phase_trial_decision,PhasePdasTrialDecisionPacket,1,64,1e-06,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,phase line search,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,persistent diagnostic packet
PF034,main_cuda.cu,main,30516,d_ctot_phase_pcg_scalars,float64,8,64,1e-06,scalar,persistent solver packet,PF_ONLY,transport/phase transaction,phase PCG,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent solver packet
PF035,main_cuda.cu,main,30518,d_ctot_phase_pcg_packet,float64,2,16,2.5e-07,scalar,persistent solver packet,PF_ONLY,transport/phase transaction,phase PCG,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent solver packet
PF036,main_cuda.cu,main,30521,d_ctot_transport_stats,float64,25,200,3.125e-06,scalar,persistent diagnostic packet,PF_ONLY,transport/phase transaction,transport residual,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,no,yes,yes,retained,persistent diagnostic packet
PF037,main_cuda.cu,main,30526,d_ctot_fv_face_x,float64,N,512000000,8.0,cell,transport scratch,PF_ONLY,transport/phase transaction,face flux,transport audit,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,face-streaming candidate,conditional,no,yes,yes,retained,transport scratch
PF038,main_cuda.cu,main,30528,d_ctot_fv_face_y,float64,N,512000000,8.0,cell,transport scratch,PF_ONLY,transport/phase transaction,face flux,transport audit,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,face-streaming candidate,conditional,no,yes,no,M6_FACE_STREAMING,transport scratch
PF039,main_cuda.cu,main,30529,d_ctot_fv_face_z,float64,N,512000000,8.0,cell,transport scratch,PF_ONLY,transport/phase transaction,face flux,transport audit,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,face-streaming candidate,conditional,no,yes,no,M6_FACE_STREAMING,transport scratch
PF040,main_cuda.cu,main,30533,d_ctot_outer_face_prev_x,float64,N,512000000,8.0,cell,outer flux history,PF_ONLY,transport/phase transaction,outer flux audit,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,recompute tradeoff only,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer flux history
PF041,main_cuda.cu,main,30534,d_ctot_outer_face_prev_y,float64,N,512000000,8.0,cell,outer flux history,PF_ONLY,transport/phase transaction,outer flux audit,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,recompute tradeoff only,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer flux history
PF042,main_cuda.cu,main,30535,d_ctot_outer_face_prev_z,float64,N,512000000,8.0,cell,outer flux history,PF_ONLY,transport/phase transaction,outer flux audit,attempt end,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,no,no,conditional,recompute tradeoff only,conditional,no,yes,no,M2_SINGLE_OUTER_HISTORY_ELISION,outer flux history
PF043,main_cuda.cu,main,30885,d_mu_x_r,float64,N,512000000,8.0,cell,shared scratch,PF_ONLY,transport/phase transaction,thermodynamics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,d_Y_rhs_r,conditional,no,yes,yes,retained,shared scratch
PF044,main_cuda.cu,main,30889,d_divJ_r,float64,N,512000000,8.0,cell,shared scratch,PF_ONLY,transport/phase transaction,flux divergence,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,d_xB_prev_r,conditional,no,yes,yes,retained,shared scratch
PF045,main_cuda.cu,main,30914,d_scratch_r_double,float64,2*N,1024000000,16.0,cell,scratch arena,PF_ONLY,transport/phase transaction,first operator,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,yes,no,conditional,two disjoint slots,conditional,no,yes,yes,retained,scratch arena
PF046,main_cuda.cu,main,30896,d_phi_k,complex128,K,514560000,8.04,spectrum,FFT state/scratch,PF_ONLY,transport/phase transaction,phase FFT,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,no,conditional,no,yes,yes,retained,FFT state/scratch
PF047,main_cuda.cu,main,30897,d_phi_rhs_k,complex128,K,514560000,8.04,spectrum,FFT scratch,PF_ONLY,transport/phase transaction,phase FFT,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,d_mu_x_k;d_Y_rhs_k,conditional,no,yes,yes,retained,FFT scratch
PF048,main_cuda.cu,main,30904,d_Y_k,complex128,K,514560000,8.04,spectrum,FFT scratch,PF_ONLY,transport/phase transaction,phase context FFT,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,lifetime-reuse candidate,conditional,no,yes,no,M4_PHASE_SPECTRUM_ALIAS,FFT scratch
PF049,main_cuda.cu,main,30912,d_divJ_k,complex128,K,514560000,8.04,spectrum,FFT scratch,PF_ONLY,transport/phase transaction,legacy/spectral scratch,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,legacy-gated reuse candidate,conditional,no,yes,no,M5_UNUSED_DERIVED_ELISION,FFT scratch
PF050,main_cuda.cu,main,30913,d_scratch_k_double,complex128,K,514560000,8.04,spectrum,FFT scratch arena,PF_ONLY,transport/phase transaction,first FFT operator,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,yes,no,conditional,single shared slot,conditional,no,yes,yes,retained,FFT scratch arena
PF051,main_cuda.cu,main,33337,KS.d_k2,float64,K,257280000,4.02,spectrum,FFT coefficient,PF_ONLY,transport/phase transaction,k-space build,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,conditional,no,conditional,no,yes,yes,retained,FFT coefficient
PF052,cuda_common.cu,cuda_common,96,KS.d_k4,float64,K,257280000,4.02,spectrum,FFT coefficient,PF_ONLY,transport/phase transaction,k-space build,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,no,no,yes,legacy-only removal candidate,conditional,no,yes,no,M5_UNUSED_DERIVED_ELISION,FFT coefficient
PF053,main_cuda.cu,main,30511,phase_trial_block_summaries,uint64x7,ceil(N/256),14000000,0.21875,cell,reduction scratch,PF_ONLY,transport/phase transaction,phase line search,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,no,conditional,already compact/scalar,yes,yes,retained,reduction scratch
PF054,UNKNOWN,UNKNOWN,0,reduction_workspace_a,float64,ceil(N/256),2000000,0.03125,cell,reduction scratch,PF_ONLY,transport/phase transaction,first reduction,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,global shared workspace,conditional,no,yes,yes,retained,reduction scratch
PF055,UNKNOWN,UNKNOWN,0,reduction_workspace_b,float64,ceil(ceil(N/256)/256),7816,0.000122125,cell,reduction scratch,PF_ONLY,transport/phase transaction,first reduction,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,global shared workspace,conditional,no,yes,yes,retained,reduction scratch
PF056,UNKNOWN,UNKNOWN,0,reduction_workspace_zero,float64,1,8,1.25e-07,scalar,reduction scalar,PF_ONLY,transport/phase transaction,first reduction,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,no,no,conditional,global shared workspace,conditional,no,yes,yes,retained,reduction scalar
PF057,UNKNOWN,UNKNOWN,0,elastic_strain_stress,float32,12*N,3072000000,48.0,cell,mechanical state/scratch,PF_ONLY,transport/phase transaction,mechanics,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,yes,yes,no,conditional,no,conditional,already compact/scalar,no,no,retained,mechanical state/scratch
PF058,main_cuda.cu,main,31038,mechanical_force,float32,N,256000000,4.0,cell,mechanical scratch,PF_ONLY,transport/phase transaction,mechanical audit,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,no,yes,no,conditional,no,conditional,already compact/scalar,no,no,retained,mechanical scratch
PF059,UNKNOWN,UNKNOWN,0,mechanical_transaction_real,float32,30*N,7680000000,120.0,cell,mechanical accepted/trial/history,PF_ONLY,transport/phase transaction,mechanical transaction,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,no,yes,no,conditional,no,conditional,already compact/scalar,no,no,retained,mechanical accepted/trial/history
PF060,UNKNOWN,UNKNOWN,0,elastic_base_spectra,complex64,9*K,2315520000,36.18,spectrum,mechanical FFT scratch,PF_ONLY,transport/phase transaction,mechanics FFT,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,no,no,no,yes,yes,no,conditional,no,conditional,already compact/scalar,no,no,retained,mechanical FFT scratch
PF061,UNKNOWN,UNKNOWN,0,mechanical_transaction_spectra,complex64,9*K,2315520000,36.18,spectrum,mechanical FFT history,PF_ONLY,transport/phase transaction,mechanical transaction,shutdown,source-traced; see allocation_call_graph.md,source-traced; see allocation_call_graph.md,yes,no,no,yes,yes,no,conditional,no,conditional,already compact/scalar,no,no,retained,mechanical FFT history
